"AREACODE_NUM","X_EVENTIME","X_DATA_COUNT","DO_EVENTIME","DO_DATA_COUNT","X_CALLS","DO_CALLS"
"F","43299","556063","417606","18277441","621130","3608930"
"G","15082","90803","99360","4202733","254295","1481157"
"B","33148","176159","446494","8793596","763711","7253374"
"I","48922","262602","224707","9064007","668531","2281768"
"D","30653","247940","245301","9214592","694727","3362199"
"E","101067","763803","697001","33134966","1858843","8074285"
"A","122182","647171","794558","25246520","1915215","11597092"
"H","39375","384460","302212","11524043","665727","2810029"
"C","23448","208951","237609","10123905","509077","4074143"
